id,source_site,query_cas,query_chemical,product_name,product_cas,product_url,supplier_name,supplier_country,supplier_city,price,moq,purity,raw_snippet,fetched_at
1,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.trivenichemical.com/hydride1.html#acetic-anhydride,Triveni chemicals,India,Vapi,,,,"Acetic Anhydride Acetic anhydride, or ethanoic anhydride, is the chemical compound with the formula (CH3CO)2O. Commonly abbreviated Ac2O, it is the simplest acid anhydride and is a widely used reagent in organic synthesis. It is a colorless liquid that smells strongly of acetic acid, formed by its reaction with the moisture in the air. more... Triveni chemicals No. 135, Pancharatna Char Rasta, G. ",2026-04-24T17:28:11.442639+00:00
2,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.trivenichemicals.com/acid-anhydrides.html#acetic-anhydride,Triveni Aromatics And Perfumery Private Limited,India,Vapi,,,,"Acetic Anhydride We have gained expertise in providing our clients with Acetic Anhydride. All these are widely acclaimed by the clients for their precise pH value, skin-friendly, longer shelf life and accurate composition. We formulate all these using superior quality ingredients that are procured from the reliable vendors of the... more... Triveni Aromatics And Perfumery Private Limited No. 134, ",2026-04-24T17:28:11.442700+00:00
3,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.iolcp.com/speciality-chemicals.html#acetic-anhydride,IOL Chemicals And Pharmaceuticals Limited,India,Ludhiana,,,,"Acetic Anhydride IOL Chemicals And Pharmaceuticals Limited No. 85, Industrial Area- A Near Malwa Cotton Building , Ludhiana - 141003 , Punjab www.iolcp.com Send Enquiry 8447525205 Ludhiana",2026-04-24T17:28:11.442706+00:00
4,indiamart,108-24-7,acetic anhydride,Acetic Acid,108-24-7,https://web.archive.org/web/20150507121327/http://www.chemicalsdealer.com/chemical-compounds.html#acetic-acid,Adarsh Chemicals,India,Chennai,,,,"Acetic Acid We supply premium quality of acetic acid, which is also called as ethanoic acid. This organic chemical is the simplest carboxylic acid. It is used as an important chemical reagent and also as an industrial chemical for the production of polyethylene terephthalate mainly used in soft drink bottles. We formulate... more... Adarsh Chemicals No. 24, Bangaru Street Ayanavaram , Chennai - 60",2026-04-24T17:28:11.442709+00:00
5,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/anand-enterprises/laboratory-chemical.html#acetic-anhydride,"Anand Enterprises, Pune",India,Pune,,,,"Acetic Anhydride Abiding by ethical business policies, we are engaged in offering Acetic Anhydride. Simplest acid anhydrides, which is a widely used reagent in organic synthesis and is a colorless liquid that smells strongly of acetic acid and is formed by its reaction with the moisture in the air. Other details: * Chemical... more... Anand Enterprises, Pune 134 Nana Peth, Near Ram Mandir , Pune -",2026-04-24T17:28:11.442713+00:00
6,indiamart,108-24-7,acetic anhydride,Acetic Anhydride Chemical,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/djamnadasco/liquid-chemicals.html#acetic-anhydride-chemical,D. Jamnadas & Co.,India,Mumbai,,,,"Acetic Anhydride Chemical We are engaged in the supply and trade of high-quality Acetic Anhydride Chemical. It is composed of premium-quality chemicals in compliance with industrial quality norms and standards. It has a balanced ph value. This product is made using high-quality chemical components that are procured from reliable vendors... more... D. Jamnadas & Co. No. 207, Samuel Street, 1st Floo",2026-04-24T17:28:11.442716+00:00
7,indiamart,108-24-7,acetic anhydride,Acetic Anahydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/ashokorganic/acetic-anahydride-acid.html#acetic-anahydride,Ashok Chem Pharma International,India,Mumbai,,,,Acetic Anahydride Acetic Anahydride (99.5%) (CH3CO)2=O H.S.Code: 2915.24.00 Colorless liquid with perceptible odour. Immiscible with water. Heavier than water Specifications: Uses : * For dry Stuff * Drugs & Pharmaceuticals * Polymers * Aromatic Compound * Chemical & Dyes Packing : * Road Tanker having 9/10 Tonnes capacity * 35 kg jerry cans * 230 kg HM-HDPE Barrels / IBC / ISO Containers more... ,2026-04-24T17:28:11.442719+00:00
8,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/jkchemicals-hyderabad/speciality-chemical.html#acetic-anhydride,Jk Chemicals,India,Hyderabad,,,,"Acetic Anhydride Jk Chemicals Plot No. 33, Praga Tools Colony, Pipe Line Road, Jeedimetla, Pet-Basheerabad, Quthbullapur (M), R.R. District, , Hyderabad - 500055 , Telangana www.indiamart.com/jkchemicals-hyderabad Send Enquiry 9643008613 Hyderabad",2026-04-24T17:28:11.442734+00:00
9,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/gemcorporation-mumbai/rcf-chemicals-products.html#acetic-anhydride,Gem Corporation,India,Mumbai,,,,"Acetic Anhydride Acetic anhydride, or ethanoic anhydride, is the chemical compound with the formula (CH3CO)2O. Commonly abbreviated Ac2O, it is the simplest isolatable acid anhydride and is a widely used reagent in organic synthesis. It is a colorless liquid that smells strongly of acetic acid, formed by its reaction with the moisture in the air. more... Gem Corporation Reg.Off. 409, Parimal , R.B",2026-04-24T17:28:11.442739+00:00
10,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/iol-chemicals/speciality-chemicals.html#acetic-anhydride,IOL Chemicals & Pharmaceuticals Limited,India,Ludhiana,,,,"Acetic Anhydride C4H6O3 IOL Chemicals & Pharmaceuticals Limited No. 85, Industrial Area A , Ludhiana - 141003 , Punjab www.indiamart.com/iol-chemicals Send Enquiry 8045375698 Ludhiana",2026-04-24T17:28:11.442742+00:00
11,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/iol-chemical-pharmaceuticals/speciality-chemicals.html#acetic-anhydride,IOL Chemical & Pharmaceuticals Limited,India,Barnala,,,,"Acetic Anhydride IOL Chemical & Pharmaceuticals Limited Village- Dhaula, Trident Complex , Barnala - 148101 , Punjab www.indiamart.com/iol-chemical-pharmaceuticals Send Enquiry 8048416598 Barnala",2026-04-24T17:28:11.442744+00:00
12,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/su-organic-sciences/,Su Organic Sciences Private Limited,India,Navi Mumbai,,,,"Acetic Anhydride Acetic anhydride is a colorless, mobile, combustible liquid with a pungent Acetic Acid odor formed by its reaction with the moisture in the air. Commonly abbreviated Ac2O, it is the simplest Isolatable Acid Anhydride and is a widely used reagent in organic synthesis. It’s an important ingredient for industries like Textile, Pharmaceuticals, Agrochemicals and also finds an applicat",2026-04-24T17:28:11.442747+00:00
13,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/ankitraj/pharmaceutical-chemical.html#acetic-anhydride,Ankitraj Expo Trade Private Limited,India,Navi Mumbai,,,,"Acetic Anhydride (CH3CO)2) We are leading merchant manufacturer and exporter of Acetic Anhydride (CH3CO)2). These come in specific gravity (20/4'0) of 1 083 and boiling point of 140 degree C and is used as Cellulose acetate in Pharmaceuticals, Dyes, Flavors & perfumes. The other details include: Physical... more... Ankitraj Expo Trade Private Limited 201 Trimurti RK near sarvoday hospital LBS marg",2026-04-24T17:28:11.442751+00:00
14,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/pioneer-chemical/organic-compounds.html#acetic-anhydride,Pioneer Chemical Industries Private Limited,India,Mumbai,,,,"Acetic Anhydride We have obtained immense knowledge in delivering Acetic Anhydride to our clients. The offered range is available in different arrangements as per the diverse requirements of esteemed clients. Along with this, the offered range is surely checked on number of attributes to ensure its conformation with the benchmarks of quality. more... Pioneer Chemical Industries Private Limited No.",2026-04-24T17:28:11.442754+00:00
15,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/jai-lakshmiagro/ester.html#acetic-anhydride,Jai Lakshmi Agro Chemicals Private Limited,India,Mumbai,,,,"Acetic Anhydride Jai Lakshmi Agro Chemicals Private Limited No. 30, Hem Prakash, No. 90/92, Kazi Sayad Street, Masjid Bunder , Mumbai - 400003 , Maharashtra www.indiamart.com/jai-lakshmiagro Send Enquiry 8048414905 Mumbai",2026-04-24T17:28:11.442756+00:00
16,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/gujrat-dyestuff-industries/,Government Recognised Export House,India,Mumbai,,,,"Acetic Anhydride Government Recognised Export House Dalamal Tower No 1401, Plot No 211, Nariman Point , Mumbai - 400021 , Maharashtra www.indiamart.com/gujrat-dyestuff-industries Send Enquiry 8048416849 Mumbai",2026-04-24T17:28:11.442759+00:00
17,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/sam-chemicals/pharmaceutical-chemicals.html#acetic-anhydride,Sam Chemicals,India,Chandigarh,,,,"Acetic Anhydride We offer a huge range of Acetic Anhydride, which are manufactured from premium quality chemicals to offer finest product to our clients. Acetic Anhydride offered by us exhibits specific Gravity of 20/4’0 of 1083 and 140’ C boiling points. Our products find their wide application in various Pharmaceutical companies in making various flavors and perfumes. Our customers can avail the",2026-04-24T17:28:11.442762+00:00
18,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/jpb-chemical-industries/chemicals.html#acetic-anhydride,JPB Chemical Industries Private Limited,India,Mumbai,,,,"Acetic Anhydride JPB Chemical Industries Private Limited Shreenath Shopping Center Office No. 2 1st Floor D J Road, Vile Parle West , Mumbai - 400 056 , Maharashtra www.indiamart.com/jpb-chemical-industries Send Enquiry 8043045252 Mumbai",2026-04-24T17:28:11.442765+00:00
19,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/peekay-agencies/hydride.html#acetic-anhydride,Bharat Mercantle Corportion,India,Kolkata,,,,"Acetic Anhydride Features: * Cost effective * Easy to use * Reliable more... Bharat Mercantle Corportion No. 7/1, Lord Sinha Road Lords 506 , Kolkata - 700071 , West Bengal www.indiamart.com/peekay-agencies Send Enquiry 8042969820 Kolkata",2026-04-24T17:28:11.442768+00:00
20,indiamart,108-24-7,acetic anhydride,Acetic Anhydride Bulk,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/su-organicsciences/acetyls.html#acetic-anhydride-bulk,SU Organic Sciences Private Limited,India,Navi Mumbai,,,,"Acetic Anhydride Bulk SU Organic Sciences Private Limited Suite No. 3, Plot No. 112, Parshwa Apartment , Navi Mumbai - 400706 , Maharashtra www.indiamart.com/su-organicsciences Send Enquiry 22-27725125 Navi Mumbai",2026-04-24T17:28:11.442770+00:00
21,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/company/2414177/alcohol-alco-chemicals.html#acetic-anhydride,The Andhra Sugars Limited,India,Tanuku,,,,"Acetic Anhydride The Andhra Sugars Limited VENKATARAYAPURAM , Tanuku - 534215 , Andhra Pradesh www.indiamart.com/company/2414177 Send Enquiry 9550088222 Tanuku",2026-04-24T17:28:11.442773+00:00
22,indiamart,108-24-7,acetic anhydride,Polynosic/Acetate Blends,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/shreejee-apparels/,Shree Jee Apparels Private Limited,India,Noida,,,,"Polynosic/Acetate Blends Shree Jee Apparels Private Limited Plot No. 50, Sector2 , Noida - 201301 , Uttar Pradesh www.indiamart.com/shreejee-apparels Send Enquiry 120-4664666 Noida",2026-04-24T17:28:11.442776+00:00
23,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/luna-chemical/,Luna Chemical Industries Private Limited,India,Vadodara,,,,"Acetic Anhydride Luna Chemical Industries Private Limited No. 8, Vinayak Society, Near Natubhai Circle, Gotri Road , Vadodara - 390007 , Gujarat www.indiamart.com/luna-chemical Send Enquiry 265-2326673 Vadodara",2026-04-24T17:28:11.442778+00:00
24,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/aci-groupcompanies/,Aci Group of Companies,India,Bengaluru,,,,"Acetic Anhydride Aci Group of Companies 3rd Floor, Prabath complex, No8.k.g.road , Bengaluru - 560009 , Karnataka www.indiamart.com/aci-groupcompanies Send Enquiry 80-22266226 Bengaluru",2026-04-24T17:28:11.442783+00:00
25,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/faith-international/chemical-compunds.html#acetic-anhydride,Faith International,India,Kalyan,,,,"Acetic Anhydride This product comes under narcotics control hence requires following documents. * Original purchase order * Original Import permission in favor of the Exporter * Original End usage certificate * Copy of License (End User) Total time requires to get permission is approx 3 Weeks more... Faith International G- 2, Mukund Sadan, Pandit Deen Dayal Road, Anand Nagar, Behind DNS Bank, Domb",2026-04-24T17:28:11.442789+00:00
26,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/company/786596/alcohol-alco-chemicals.html#acetic-anhydride,The Andhra Farm Chemicals Corporation Limited,India,Kovur,,,,"Acetic Anhydride Specifications The Andhra Farm Chemicals Corporation Limited Venkatarayapuram, West Godavari , Kovur - 534350 , Andhra Pradesh www.indiamart.com/company/786596 Send Enquiry 9912108322 Kovur",2026-04-24T17:28:11.442792+00:00
27,indiamart,108-24-7,acetic anhydride,Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/devki-enterprise/product-range.html#acetic-anhydride,Devki Enterprise,India,Ahmedabad,,,,"Acetic Anhydride Acetic Anhydride, well known as ethanoic anhydride, is an acid anhydride. Widely used in the pharmaceutical & Agrochemical industries. Devki Enterprise No. 23-24, Vasudev Estate, Behind Evergreen Hotel, Narol , Ahmedabad - 382405 , Gujarat www.indiamart.com/devki-enterprise Send Enquiry 9825559590 Ahmedabad",2026-04-24T17:28:11.442795+00:00
28,indiamart,108-24-7,acetic anhydride,Acetic Acid & Acetic Anhydride,108-24-7,https://web.archive.org/web/20150507121327/http://www.indiamart.com/libra-techon/alcohol-based-process-technologies.html#acetic-acid-acetic-anhydride,Libra Techon Ltd.,India,Mumbai,,,,"Acetic Acid & Acetic Anhydride Libra Techon Ltd. A 167 Ttc Industrial Area Khairne Midc Behind Reliance Silicon Khairne , Mumbai - 400709 , Maharashtra www.indiamart.com/libra-techon Send Enquiry 9987777361 Mumbai",2026-04-24T17:28:11.442797+00:00
