id,source_site,supplier_name,country,city,website,years_on_platform,gold_supplier,verified,supplier_url,fetched_at
1,indiamart,Triveni chemicals,India,Vapi,https://web.archive.org/web/20150507121327/http://www.trivenichemical.com/hydride1.html#acetic-anhydride,,0,0,https://web.archive.org/web/20150507121327/http://www.trivenichemical.com/hydride1.html#acetic-anhydride,2026-04-24T17:28:11.442807+00:00
2,indiamart,Triveni Aromatics And Perfumery Private Limited,India,Vapi,https://web.archive.org/web/20150507121327/http://www.trivenichemicals.com/acid-anhydrides.html#acetic-anhydride,,0,0,https://web.archive.org/web/20150507121327/http://www.trivenichemicals.com/acid-anhydrides.html#acetic-anhydride,2026-04-24T17:28:11.442831+00:00
3,indiamart,IOL Chemicals And Pharmaceuticals Limited,India,Ludhiana,https://web.archive.org/web/20150507121327/http://www.iolcp.com/speciality-chemicals.html#acetic-anhydride,,0,0,https://web.archive.org/web/20150507121327/http://www.iolcp.com/speciality-chemicals.html#acetic-anhydride,2026-04-24T17:28:11.442834+00:00
4,indiamart,Adarsh Chemicals,India,Chennai,https://web.archive.org/web/20150507121327/http://www.chemicalsdealer.com/chemical-compounds.html#acetic-acid,,0,0,https://web.archive.org/web/20150507121327/http://www.chemicalsdealer.com/chemical-compounds.html#acetic-acid,2026-04-24T17:28:11.442837+00:00
5,indiamart,"Anand Enterprises, Pune",India,Pune,https://web.archive.org/web/20150507121327/http://www.indiamart.com/anand-enterprises/laboratory-chemical.html#acetic-anhydride,,0,0,https://web.archive.org/web/20150507121327/http://www.indiamart.com/anand-enterprises/laboratory-chemical.html#acetic-anhydride,2026-04-24T17:28:11.442839+00:00
6,indiamart,D. Jamnadas & Co.,India,Mumbai,https://web.archive.org/web/20150507121327/http://www.indiamart.com/djamnadasco/liquid-chemicals.html#acetic-anhydride-chemical,,0,0,https://web.archive.org/web/20150507121327/http://www.indiamart.com/djamnadasco/liquid-chemicals.html#acetic-anhydride-chemical,2026-04-24T17:28:11.442842+00:00
7,indiamart,Ashok Chem Pharma International,India,Mumbai,https://web.archive.org/web/20150507121327/http://www.indiamart.com/ashokorganic/acetic-anahydride-acid.html#acetic-anahydride,,0,0,https://web.archive.org/web/20150507121327/http://www.indiamart.com/ashokorganic/acetic-anahydride-acid.html#acetic-anahydride,2026-04-24T17:28:11.442844+00:00
8,indiamart,Jk Chemicals,India,Hyderabad,https://web.archive.org/web/20150507121327/http://www.indiamart.com/jkchemicals-hyderabad/speciality-chemical.html#acetic-anhydride,,0,0,https://web.archive.org/web/20150507121327/http://www.indiamart.com/jkchemicals-hyderabad/speciality-chemical.html#acetic-anhydride,2026-04-24T17:28:11.442847+00:00
9,indiamart,Gem Corporation,India,Mumbai,https://web.archive.org/web/20150507121327/http://www.indiamart.com/gemcorporation-mumbai/rcf-chemicals-products.html#acetic-anhydride,,0,0,https://web.archive.org/web/20150507121327/http://www.indiamart.com/gemcorporation-mumbai/rcf-chemicals-products.html#acetic-anhydride,2026-04-24T17:28:11.442849+00:00
10,indiamart,IOL Chemicals & Pharmaceuticals Limited,India,Ludhiana,https://web.archive.org/web/20150507121327/http://www.indiamart.com/iol-chemicals/speciality-chemicals.html#acetic-anhydride,,0,0,https://web.archive.org/web/20150507121327/http://www.indiamart.com/iol-chemicals/speciality-chemicals.html#acetic-anhydride,2026-04-24T17:28:11.442851+00:00
11,indiamart,IOL Chemical & Pharmaceuticals Limited,India,Barnala,https://web.archive.org/web/20150507121327/http://www.indiamart.com/iol-chemical-pharmaceuticals/speciality-chemicals.html#acetic-anhydride,,0,0,https://web.archive.org/web/20150507121327/http://www.indiamart.com/iol-chemical-pharmaceuticals/speciality-chemicals.html#acetic-anhydride,2026-04-24T17:28:11.442854+00:00
12,indiamart,Su Organic Sciences Private Limited,India,Navi Mumbai,https://web.archive.org/web/20150507121327/http://www.indiamart.com/su-organic-sciences/,,0,0,https://web.archive.org/web/20150507121327/http://www.indiamart.com/su-organic-sciences/,2026-04-24T17:28:11.442856+00:00
13,indiamart,Ankitraj Expo Trade Private Limited,India,Navi Mumbai,https://web.archive.org/web/20150507121327/http://www.indiamart.com/ankitraj/pharmaceutical-chemical.html#acetic-anhydride,,0,0,https://web.archive.org/web/20150507121327/http://www.indiamart.com/ankitraj/pharmaceutical-chemical.html#acetic-anhydride,2026-04-24T17:28:11.442858+00:00
14,indiamart,Pioneer Chemical Industries Private Limited,India,Mumbai,https://web.archive.org/web/20150507121327/http://www.indiamart.com/pioneer-chemical/organic-compounds.html#acetic-anhydride,,0,0,https://web.archive.org/web/20150507121327/http://www.indiamart.com/pioneer-chemical/organic-compounds.html#acetic-anhydride,2026-04-24T17:28:11.442861+00:00
15,indiamart,Jai Lakshmi Agro Chemicals Private Limited,India,Mumbai,https://web.archive.org/web/20150507121327/http://www.indiamart.com/jai-lakshmiagro/ester.html#acetic-anhydride,,0,0,https://web.archive.org/web/20150507121327/http://www.indiamart.com/jai-lakshmiagro/ester.html#acetic-anhydride,2026-04-24T17:28:11.442864+00:00
