id,query_chemical,query_cas,product_name,product_cas,supplier_id,supplier_name,supplier_country,purity,grade,min_order,price,product_url,fetched_at
1,Acetic anhydride,108-24-7,Acetic anhydride,108-24-7,13554,"Wanglong Group Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/13554/Acetic-anhydride--1475615.html,2026-04-24T17:19:52+00:00
2,Acetic anhydride,108-24-7,Sorbic acid,,13554,"Wanglong Group Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/13554/Sorbic-acid--387066.html,2026-04-24T17:19:52+00:00
3,Acetic anhydride,108-24-7,Potassium sorbate,,13554,"Wanglong Group Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/13554/Potassium-sorbate--387068.html,2026-04-24T17:19:52+00:00
4,Acetic anhydride,108-24-7,Sodium dehydroacet...,,13554,"Wanglong Group Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/13554/Sodium-dehydroacetate--1475612.html,2026-04-24T17:19:52+00:00
5,Acetic anhydride,108-24-7,Methyl acetoacetat...,,13554,"Wanglong Group Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/13554/Methyl-acetoacetate--1475613.html,2026-04-24T17:19:52+00:00
6,Acetic anhydride,108-24-7,Ethyl acetoacetate,,13554,"Wanglong Group Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/13554/Ethyl-acetoacetate--1475614.html,2026-04-24T17:19:52+00:00
7,Acetic anhydride,108-24-7,Acetic anhydride,108-24-7,16129,"Dongying City Longxing Chemical Co., Ltd.",,,,,,http://www.chemlongxing.com,2026-04-24T17:19:52+00:00
8,Acetic anhydride,108-24-7,Xylene,,16129,"Dongying City Longxing Chemical Co., Ltd.",,,,,,https://www.chemnet.com/ChinaSuppliers/16129/Xylene--2376253.html,2026-04-24T17:19:52+00:00
9,Acetic anhydride,108-24-7,"1,2-Propanediol",,16129,"Dongying City Longxing Chemical Co., Ltd.",,,,,,"https://www.chemnet.com/ChinaSuppliers/16129/1,2-Propanediol--2375587.html",2026-04-24T17:19:52+00:00
10,Acetic anhydride,108-24-7,Dichloromethane,,16129,"Dongying City Longxing Chemical Co., Ltd.",,,,,,https://www.chemnet.com/ChinaSuppliers/16129/Dichloromethane--2236603.html,2026-04-24T17:19:52+00:00
11,Acetic anhydride,108-24-7,Triethylamine,,16129,"Dongying City Longxing Chemical Co., Ltd.",,,,,,https://www.chemnet.com/ChinaSuppliers/16129/Triethylamine--2376257.html,2026-04-24T17:19:52+00:00
12,Acetic anhydride,108-24-7,Acetic acid,,16129,"Dongying City Longxing Chemical Co., Ltd.",,,,,,https://www.chemnet.com/ChinaSuppliers/16129/Acetic-acid--2375588.html,2026-04-24T17:19:52+00:00
13,Acetic anhydride,108-24-7,Acetic Anhydride,108-24-7,27351,RIL INTERNATIONAL LTD.,China,,,,,https://www.chemnet.com/ChinaSuppliers/27351/Acetic-Anhydride--847841.html,2026-04-24T17:19:52+00:00
14,Acetic anhydride,108-24-7,Crotonaldehyde,,27351,RIL INTERNATIONAL LTD.,China,,,,,https://www.chemnet.com/ChinaSuppliers/27351/Crotonaldehyde--957357.html,2026-04-24T17:19:52+00:00
15,Acetic anhydride,108-24-7,Trichloroisocyanyr...,,27351,RIL INTERNATIONAL LTD.,China,,,,,https://www.chemnet.com/ChinaSuppliers/27351/Trichloroisocyanyr-ic-Acid--957358.html,2026-04-24T17:19:52+00:00
16,Acetic anhydride,108-24-7,TCCA,,27351,RIL INTERNATIONAL LTD.,China,,,,,https://www.chemnet.com/ChinaSuppliers/27351/TCCA--957359.html,2026-04-24T17:19:52+00:00
17,Acetic anhydride,108-24-7,Sodium Dichloroiso...,,27351,RIL INTERNATIONAL LTD.,China,,,,,https://www.chemnet.com/ChinaSuppliers/27351/Sodium-Dichloroisocyanurate--957360.html,2026-04-24T17:19:52+00:00
18,Acetic anhydride,108-24-7,DccNa,,27351,RIL INTERNATIONAL LTD.,China,,,,,https://www.chemnet.com/ChinaSuppliers/27351/DccNa--957361.html,2026-04-24T17:19:52+00:00
19,Acetic anhydride,108-24-7,Acetic Anhydride,108-24-7,31053,"Huzhou Tongbao Fine Chemical Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/31053/Acetic-Anhydride--1042412.html,2026-04-24T17:19:52+00:00
20,Acetic anhydride,108-24-7,Acetylacetone,,31053,"Huzhou Tongbao Fine Chemical Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/31053/Acetylacetone--938884.html,2026-04-24T17:19:52+00:00
21,Acetic anhydride,108-24-7,"2,4-Pentanedione",,31053,"Huzhou Tongbao Fine Chemical Co., Ltd.",China,,,,,"https://www.chemnet.com/ChinaSuppliers/31053/2,4-Pentanedione--938885.html",2026-04-24T17:19:52+00:00
22,Acetic anhydride,108-24-7,Acetic Anhydride,,31053,"Huzhou Tongbao Fine Chemical Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/31053/Acetic-Anhydride--1042412.html,2026-04-24T17:19:52+00:00
23,Acetic anhydride,108-24-7,Acetic Anhydride,108-24-7,32622,"Shanghai Lang Chemical Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/32622/Acetic-Anhydride--2199251.html,2026-04-24T17:19:52+00:00
24,Acetic anhydride,108-24-7,PVA,,32622,"Shanghai Lang Chemical Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/32622/PVA--1409035.html,2026-04-24T17:19:52+00:00
25,Acetic anhydride,108-24-7,Water-retention ag...,,32622,"Shanghai Lang Chemical Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/32622/Water-retention-agent--993829.html,2026-04-24T17:19:52+00:00
26,Acetic anhydride,108-24-7,VAE Adhesive,,32622,"Shanghai Lang Chemical Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/32622/VAE-Adhesive--993830.html,2026-04-24T17:19:52+00:00
27,Acetic anhydride,108-24-7,frog brand series,,32622,"Shanghai Lang Chemical Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/32622/frog-brand-series--993831.html,2026-04-24T17:19:52+00:00
28,Acetic anhydride,108-24-7,Dibutyl phthalate,,32622,"Shanghai Lang Chemical Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/32622/Dibutyl-phthalate--993832.html,2026-04-24T17:19:52+00:00
29,Acetic anhydride,108-24-7,Acetic anhydride,108-24-7,35016,"Quzhou Xiecheng Chemical Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/35016/Acetic-anhydride--2009681.html,2026-04-24T17:19:52+00:00
30,Acetic anhydride,108-24-7,Dichloromethane,,35016,"Quzhou Xiecheng Chemical Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/35016/Dichloromethane--1164072.html,2026-04-24T17:19:52+00:00
31,Acetic anhydride,108-24-7,Trichloromethane,,35016,"Quzhou Xiecheng Chemical Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/35016/Trichloromethane--1164073.html,2026-04-24T17:19:52+00:00
32,Acetic anhydride,108-24-7,Liquid Ammonia,,35016,"Quzhou Xiecheng Chemical Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/35016/Liquid-Ammonia--1164077.html,2026-04-24T17:19:52+00:00
33,Acetic anhydride,108-24-7,Perchlorethylene,,35016,"Quzhou Xiecheng Chemical Co., Ltd.",China,,,,,https://www.chemnet.com/ChinaSuppliers/35016/Perchlorethylene--1824645.html,2026-04-24T17:19:52+00:00
