id,query_chemical,query_cas,query_url,result_count,html_path,fetched_at
1,Acetic anhydride,108-24-7,http://www.chemnet.com/cas/supplier.cgi?terms=108-24-7&exact=dict&l=&f=plist&terms1=&f1=plist&home1=&scale=pw&criteria=bprod,10,raw/chemnet_com/_cas_supplier.cgi__terms_108-24-7_exact_dict_l_f_plist_terms1_f1_plist_home1_scale_pw_criteria_bpro__4929f2f7b8b5.html,2026-04-24T17:19:52+00:00
2,Acetic anhydride,108-24-7,https://www.chemnet.com/Global/Products/aceticanhydride/Suppliers-0-0.html,10,raw/chemnet_com/_Global_Products_aceticanhydride_Suppliers-0-0.html__https_www.chemnet.com_Global_Products_aceticanhydride_Suppliers-0-0.html__05ca759ad2a3.html,2026-04-24T17:19:52+00:00
3,Acetic anhydride,108-24-7,https://www.chemnet.com/Global/Products/aceticanhydride/Suppliers-0-1.html,10,raw/chemnet_com/_Global_Products_aceticanhydride_Suppliers-0-1.html__https_www.chemnet.com_Global_Products_aceticanhydride_Suppliers-0-1.html__7495c71c39d7.html,2026-04-24T17:19:52+00:00
4,Acetic anhydride,108-24-7,https://www.chemnet.com/Global/Products/aceticanhydride/Suppliers-0-2.html,10,raw/chemnet_com/_Global_Products_aceticanhydride_Suppliers-0-2.html__https_www.chemnet.com_Global_Products_aceticanhydride_Suppliers-0-2.html__52ccd0883b31.html,2026-04-24T17:19:52+00:00
5,Acetic anhydride,108-24-7,https://www.chemnet.com/Global/Products/aceticanhydride/Suppliers-0-3.html,10,raw/chemnet_com/_Global_Products_aceticanhydride_Suppliers-0-3.html__https_www.chemnet.com_Global_Products_aceticanhydride_Suppliers-0-3.html__94a4c572d93a.html,2026-04-24T17:19:52+00:00
6,Acetic anhydride,108-24-7,https://www.chemnet.com/Global/Products/aceticanhydride/Suppliers-0-4.html,10,raw/chemnet_com/_Global_Products_aceticanhydride_Suppliers-0-4.html__https_www.chemnet.com_Global_Products_aceticanhydride_Suppliers-0-4.html__33e1436649f7.html,2026-04-24T17:19:52+00:00
7,Acetic anhydride,108-24-7,https://www.chemnet.com/Global/Products/aceticanhydride/Suppliers-0-5.html,10,raw/chemnet_com/_Global_Products_aceticanhydride_Suppliers-0-5.html__https_www.chemnet.com_Global_Products_aceticanhydride_Suppliers-0-5.html__0a7a18a225ff.html,2026-04-24T17:19:52+00:00
8,Acetic anhydride,108-24-7,https://www.chemnet.com/Global/Products/aceticanhydride/Suppliers-0-6.html,10,raw/chemnet_com/_Global_Products_aceticanhydride_Suppliers-0-6.html__https_www.chemnet.com_Global_Products_aceticanhydride_Suppliers-0-6.html__a509b9b2751c.html,2026-04-24T17:19:52+00:00
9,Acetic anhydride,108-24-7,https://www.chemnet.com/Global/Products/aceticanhydride/Suppliers-0-7.html,10,raw/chemnet_com/_Global_Products_aceticanhydride_Suppliers-0-7.html__https_www.chemnet.com_Global_Products_aceticanhydride_Suppliers-0-7.html__3d20252d818f.html,2026-04-24T17:19:52+00:00
10,Acetic anhydride,108-24-7,https://www.chemnet.com/Global/Products/aceticanhydride/Suppliers-0-8.html,10,raw/chemnet_com/_Global_Products_aceticanhydride_Suppliers-0-8.html__https_www.chemnet.com_Global_Products_aceticanhydride_Suppliers-0-8.html__bf195227a6ea.html,2026-04-24T17:19:52+00:00
