id,supplier_id,supplier_name,country,city,website,description,chemnet_url,address,email,telephone,fax,fetched_at
1,13554,"Wanglong Group Co., Ltd.",China,,www.wanglong.comhg/hz13554,,https://www.chemnet.com/ChinaSuppliers/13554/Products-Catalog--1.html,Fangjia Road Xiaocaoe Town yuyao City China,sales@wanglong.com,"+86-574-58126581,58126533","+86-574-62093358,62092570",2026-04-24T17:19:52+00:00
2,16129,"Dongying City Longxing Chemical Co., Ltd.",,,www.chemlongxing.comhg/sd16129,,https://www.chemnet.com/Suppliers/16129.html,"Dawang Economy Technology Development Zone,Guangrao County,Dongying City,Shandong Province,China.",export2@chemlongxing.com,+86-546-6878189,+86-546-6896098,2026-04-24T17:19:52+00:00
3,27351,RIL INTERNATIONAL LTD.,China,,www.tjril.comhg/bj27351,,https://www.chemnet.com/ChinaSuppliers/27351/Products-Catalog--1.html,"Room 1033,Huaying Mansion,Zhongxin Avenue,Tianjin Airport Economic Area,Tianjin 300308,China",sales@tjril.com,+86 22 58211126/27/28,+86 22 58211129,2026-04-24T17:19:52+00:00
4,31053,"Huzhou Tongbao Fine Chemical Co., Ltd.",China,,www.chemnet.com/ChinaSuppliers/31053/a5hg/hz31053,,https://www.chemnet.com/ChinaSuppliers/31053/Products-Catalog--1.html,"Xia'ang industrial zone, Huzhou, Zhejiang, China",shen4548@tbchem.com,+86-572-3752149;13906724548;13706721705,+86-572-3752072,2026-04-24T17:19:52+00:00
5,32622,"Shanghai Lang Chemical Co., Ltd.",China,,www.langyuan.com.cnhg/sh32622,,https://www.chemnet.com/ChinaSuppliers/32622/Products-Catalog--1.html,"No.970, Dalian RD, Hongkou District , Shanghai, China",shlangyuan@163.com,+86-21-51289991,+86-21-51289992,2026-04-24T17:19:52+00:00
6,35016,"Quzhou Xiecheng Chemical Co., Ltd.",China,,www.xcchemical.comhg/hz35016,,https://www.chemnet.com/ChinaSuppliers/35016/Products-Catalog--1.html,"10-601-2 Rm., Shijitiancheng District, Quzhou, Zhejiang, China",wangfang@xcchemical.com,+86-570-8086572,+86-570-3037297,2026-04-24T17:19:52+00:00
7,3552,CHISSO CORPORATION,Japan,,www.chisso.co.jphg/cus3552,,https://www.chemnet.com/JapanSuppliers/3552/Products-Catalog--1.html,"FOREFRONT TOWER II, 3-13-1 Kachidoki, Chuo-ku, Tokyo 104-8555",k.kurisaki@chisso.co.jp,+81-3-3534-9720,+81-3-3534-9986,2026-04-24T17:19:52+00:00
8,4250,"Monson Companies, Inc.",United States,,www.monsonco.comhg/cus4250,,https://www.chemnet.com/United-StatesSuppliers/4250/Products-Catalog--1.html,"154 Pioneer Park Leominster, MA 01453",dmercer@monsonco.com,+1-978-534-1425,+1-978-840-1060,2026-04-24T17:19:52+00:00
9,5822,Rowell Chemical,United States,,Ahg/cus5822,,https://www.chemnet.com/United-StatesSuppliers/5822/Products-Catalog--1.html,"15 Salt Creek Lane - Suite 205 Hinsdale, IL 60521",info@rowellchemical.com,+1-630-9208833,+1-630-9208994,2026-04-24T17:19:52+00:00
10,6338,Penta Manufacturing Company,United States,,www.pentamfg.comhg/cus6338,,https://www.chemnet.com/United-StatesSuppliers/6338/Products-Catalog--1.html,"Box 1448 Fairfield, NJ 07006-1448 United States",sales@pentamfg.com,+1-973-740-2300,+1-973-740-1839,2026-04-24T17:19:52+00:00
11,6449,Cambridge Isotope,United States,,www.isotope.comhg/cus6449,,https://www.chemnet.com/United-StatesSuppliers/6449/Products-Catalog--1.html,"Cambridge Isotope Laboratories 50 Frontage Road Andover, MA 01810-5413",info@isotope.com,+1-978-749-8000,+1-978-749-2768,2026-04-24T17:19:52+00:00
12,7822,"Seidler Chemical Co., Inc.",United States,,hg/cus7822,,https://www.chemnet.com/United-StatesSuppliers/7822/Products-Catalog--1.html,"537 Raymond Boulevard Newark, NJ 07105",sales@seidlerchem.com,+1-973-4651122,+1-973-4654701,2026-04-24T17:19:52+00:00
13,7825,"Scandinavian Formulas, Inc.",United States,,www.scandinavianformulas.comhg/cus7825,,https://www.chemnet.com/United-StatesSuppliers/7825/Products-Catalog--1.html,"140 E. Church St. Sellersville, PA 18960",info@scandinavianformulas.com,+1-215-4532507,+1-215-2579781,2026-04-24T17:19:52+00:00
