id,query_type,query_cas,query_name,url,http_status,result_count,fetched_at
1,seed,21409-26-7,4-ANPP (N-phenyl-N-piperidin-4-ylpropionamide),https://china.chemnet.com/product/search.cgi?f=plist&terms=21409-26-7,0,0,2026-04-24T17:27:56+00:00
2,seed,21409-26-7,4-ANPP (N-phenyl-N-piperidin-4-ylpropionamide),https://china.chemnet.com/product/search.cgi?f=plist&terms=4-ANPP+%28N-phenyl-N-piperidin-4-ylpropionamide%29,0,0,2026-04-24T17:27:56+00:00
3,seed,39742-60-4,NPP (1-phenethyl-4-piperidone),https://china.chemnet.com/product/search.cgi?f=plist&terms=39742-60-4,0,0,2026-04-24T17:27:56+00:00
4,seed,39742-60-4,NPP (1-phenethyl-4-piperidone),https://china.chemnet.com/product/search.cgi?f=plist&terms=NPP+%281-phenethyl-4-piperidone%29,0,0,2026-04-24T17:27:56+00:00
5,seed,79099-07-3,1-Boc-4-piperidone,https://china.chemnet.com/product/search.cgi?f=plist&terms=79099-07-3,0,0,2026-04-24T17:27:56+00:00
6,seed,79099-07-3,1-Boc-4-piperidone,https://china.chemnet.com/product/search.cgi?f=plist&terms=1-Boc-4-piperidone,0,0,2026-04-24T17:27:56+00:00
7,seed,41979-39-9,4-Piperidone hydrochloride hydrate,https://china.chemnet.com/product/search.cgi?f=plist&terms=41979-39-9,0,0,2026-04-24T17:27:56+00:00
8,seed,41979-39-9,4-Piperidone hydrochloride hydrate,https://china.chemnet.com/product/search.cgi?f=plist&terms=4-Piperidone+hydrochloride+hydrate,0,0,2026-04-24T17:27:56+00:00
9,seed,3612-20-2,4-Piperidone monohydrate hydrochloride,https://china.chemnet.com/product/search.cgi?f=plist&terms=3612-20-2,0,0,2026-04-24T17:27:56+00:00
10,seed,3612-20-2,4-Piperidone monohydrate hydrochloride,https://china.chemnet.com/product/search.cgi?f=plist&terms=4-Piperidone+monohydrate+hydrochloride,0,0,2026-04-24T17:27:56+00:00
11,seed,110-89-4,Piperidine,https://china.chemnet.com/product/search.cgi?f=plist&terms=110-89-4,0,0,2026-04-24T17:27:56+00:00
12,seed,110-89-4,Piperidine,https://china.chemnet.com/product/search.cgi?f=plist&terms=Piperidine,200,0,2026-04-24T17:27:56+00:00
13,seed,62-53-3,Aniline,https://china.chemnet.com/product/search.cgi?f=plist&terms=62-53-3,200,1,2026-04-24T17:27:56+00:00
14,seed,62-53-3,Aniline,https://china.chemnet.com/product/search.cgi?f=plist&terms=Aniline,200,0,2026-04-24T17:27:56+00:00
15,seed,79-03-8,Propionyl chloride,https://china.chemnet.com/product/search.cgi?f=plist&terms=79-03-8,0,0,2026-04-24T17:27:56+00:00
16,seed,79-03-8,Propionyl chloride,https://china.chemnet.com/product/search.cgi?f=plist&terms=Propionyl+chloride,0,0,2026-04-24T17:27:56+00:00
17,seed,123-62-6,Propionic anhydride,https://china.chemnet.com/product/search.cgi?f=plist&terms=123-62-6,0,0,2026-04-24T17:27:56+00:00
18,seed,123-62-6,Propionic anhydride,https://china.chemnet.com/product/search.cgi?f=plist&terms=Propionic+anhydride,0,0,2026-04-24T17:27:56+00:00
19,seed,103-63-9,(2-Bromoethyl)benzene,https://china.chemnet.com/product/search.cgi?f=plist&terms=103-63-9,0,0,2026-04-24T17:27:56+00:00
20,seed,103-63-9,(2-Bromoethyl)benzene,https://china.chemnet.com/product/search.cgi?f=plist&terms=%282-Bromoethyl%29benzene,0,0,2026-04-24T17:27:56+00:00
21,seed,23056-29-3,N-Phenyl-4-piperidinamine (4-AP),https://china.chemnet.com/product/search.cgi?f=plist&terms=23056-29-3,0,0,2026-04-24T17:27:56+00:00
22,seed,23056-29-3,N-Phenyl-4-piperidinamine (4-AP),https://china.chemnet.com/product/search.cgi?f=plist&terms=N-Phenyl-4-piperidinamine+%284-AP%29,0,0,2026-04-24T17:27:56+00:00
23,seed,3731-41-9,N-Phenyl-1-(phenethyl)piperidin-4-amine,https://china.chemnet.com/product/search.cgi?f=plist&terms=3731-41-9,0,0,2026-04-24T17:27:56+00:00
24,seed,3731-41-9,N-Phenyl-1-(phenethyl)piperidin-4-amine,https://china.chemnet.com/product/search.cgi?f=plist&terms=N-Phenyl-1-%28phenethyl%29piperidin-4-amine,0,0,2026-04-24T17:27:56+00:00
25,seed,1609-66-1,Norfentanyl,https://china.chemnet.com/product/search.cgi?f=plist&terms=1609-66-1,0,0,2026-04-24T17:27:56+00:00
26,seed,1609-66-1,Norfentanyl,https://china.chemnet.com/product/search.cgi?f=plist&terms=Norfentanyl,0,0,2026-04-24T17:27:56+00:00
27,seed,299-42-3,Ephedrine,https://china.chemnet.com/product/search.cgi?f=plist&terms=299-42-3,0,0,2026-04-24T17:27:56+00:00
28,seed,299-42-3,Ephedrine,https://china.chemnet.com/product/search.cgi?f=plist&terms=Ephedrine,0,0,2026-04-24T17:27:56+00:00
29,seed,90-82-4,Pseudoephedrine,https://china.chemnet.com/product/search.cgi?f=plist&terms=90-82-4,200,2,2026-04-24T17:27:56+00:00
30,seed,90-82-4,Pseudoephedrine,https://china.chemnet.com/product/search.cgi?f=plist&terms=Pseudoephedrine,0,0,2026-04-24T17:27:56+00:00
31,seed,14838-15-4,Phenylpropanolamine (norephedrine),https://china.chemnet.com/product/search.cgi?f=plist&terms=14838-15-4,0,0,2026-04-24T17:27:56+00:00
32,seed,14838-15-4,Phenylpropanolamine (norephedrine),https://china.chemnet.com/product/search.cgi?f=plist&terms=Phenylpropanolamine+%28norephedrine%29,0,0,2026-04-24T17:27:56+00:00
33,seed,103-79-7,P-2-P / Phenyl-2-propanone,https://china.chemnet.com/product/search.cgi?f=plist&terms=103-79-7,0,0,2026-04-24T17:27:56+00:00
34,seed,103-79-7,P-2-P / Phenyl-2-propanone,https://china.chemnet.com/product/search.cgi?f=plist&terms=P-2-P+%2F+Phenyl-2-propanone,0,0,2026-04-24T17:27:56+00:00
35,seed,4468-48-8,APAAN (α-phenylacetoacetonitrile),https://china.chemnet.com/product/search.cgi?f=plist&terms=4468-48-8,0,0,2026-04-24T17:27:56+00:00
36,seed,4468-48-8,APAAN (α-phenylacetoacetonitrile),https://china.chemnet.com/product/search.cgi?f=plist&terms=APAAN+%28%CE%B1-phenylacetoacetonitrile%29,0,0,2026-04-24T17:27:56+00:00
37,seed,74-89-5,Methylamine,https://china.chemnet.com/product/search.cgi?f=plist&terms=74-89-5,200,1,2026-04-24T17:27:56+00:00
38,seed,74-89-5,Methylamine,https://china.chemnet.com/product/search.cgi?f=plist&terms=Methylamine,0,0,2026-04-24T17:27:56+00:00
39,seed,7723-14-0,Red phosphorus,https://china.chemnet.com/product/search.cgi?f=plist&terms=7723-14-0,200,0,2026-04-24T17:27:56+00:00
40,seed,7723-14-0,Red phosphorus,https://china.chemnet.com/product/search.cgi?f=plist&terms=Red+phosphorus,0,0,2026-04-24T17:27:56+00:00
41,seed,7553-56-2,Iodine,https://china.chemnet.com/product/search.cgi?f=plist&terms=7553-56-2,200,0,2026-04-24T17:27:56+00:00
42,seed,7553-56-2,Iodine,https://china.chemnet.com/product/search.cgi?f=plist&terms=Iodine,0,0,2026-04-24T17:27:56+00:00
43,seed,10034-85-2,Hydriodic acid,https://china.chemnet.com/product/search.cgi?f=plist&terms=10034-85-2,200,0,2026-04-24T17:27:56+00:00
44,seed,10034-85-2,Hydriodic acid,https://china.chemnet.com/product/search.cgi?f=plist&terms=Hydriodic+acid,0,0,2026-04-24T17:27:56+00:00
45,seed,7722-64-7,Potassium permanganate,https://china.chemnet.com/product/search.cgi?f=plist&terms=7722-64-7,0,0,2026-04-24T17:27:56+00:00
46,seed,7722-64-7,Potassium permanganate,https://china.chemnet.com/product/search.cgi?f=plist&terms=Potassium+permanganate,0,0,2026-04-24T17:27:56+00:00
47,seed,103-82-2,Phenylacetic acid,https://china.chemnet.com/product/search.cgi?f=plist&terms=103-82-2,0,0,2026-04-24T17:27:56+00:00
48,seed,103-82-2,Phenylacetic acid,https://china.chemnet.com/product/search.cgi?f=plist&terms=Phenylacetic+acid,0,0,2026-04-24T17:27:56+00:00
49,seed,94-59-7,Safrole,https://china.chemnet.com/product/search.cgi?f=plist&terms=94-59-7,200,1,2026-04-24T17:27:56+00:00
