name,dea_code,schedule,narcotic,other_names,source,source_url,raw_text,fetched_at
(1-((1-Methylpiperidin-2-yl)methyl)-1H-indol-3-yl)(naphthalen-1-yl)methanone,7000,I,N,(AM–1220),DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,(1-((1-Methylpiperidin-2-yl)methyl)-1H-indol-3- 7000 I N yl)(naphthalen-1-yl)methanone (AM–1220),2026-04-24T17:24:50+00:00
"(1-(4-Fluorobenzyl)-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",7014,I,N,FUB-144,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"(1-(4-Fluorobenzyl)-1H-indol-3-yl)(2,2,3,3- 7014 I N FUB-144 tetramethylcyclopropyl)methanone",2026-04-24T17:24:50+00:00
(1-(5-Fluoropentyl)-1H-indol-3-yl)(4-methylnaphthalen-1-yl)methanone,7000,I,N,(MAM–2201),DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,(1-(5-Fluoropentyl)-1H-indol-3-yl)(4-methylnaphthalen- 7000 I N 1-yl)methanone (MAM–2201),2026-04-24T17:24:50+00:00
(1-Hexyl-5-phenyl-1H-pyrrol-3-yl)(naphthalen-1-yl)methanone,7000,I,N,(JWH–147),DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,(1-Hexyl-5-phenyl-1H-pyrrol-3-yl)(naphthalen-1- 7000 I N yl)methanone (JWH–147),2026-04-24T17:24:50+00:00
(2-Iodophenyl)(1-((1-methylpiperidin-2-yl)methyl)-1H-indol-3-yl)methanone,7000,I,N,(AM–2233),DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,(2-Iodophenyl)(1-((1-methylpiperidin-2-yl)methyl)-1H- 7000 I N indol-3-yl)methanone (AM–2233),2026-04-24T17:24:50+00:00
(2-Methyl-1-pentyl-1H-indol-3-yl)(naphthalen-1-yl)methanone,7000,I,N,(JWH–007),DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,(2-Methyl-1-pentyl-1H-indol-3-yl)(naphthalen-1- 7000 I N yl)methanone (JWH–007),2026-04-24T17:24:50+00:00
(4-Ethylnaphthalen-1-yl)(1-(5-fluoropentyl)-1H-indol-3-yl)methanone,7000,I,N,(EAM–2201),DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,(4-Ethylnaphthalen-1-yl)(1-(5-fluoropentyl)-1H-indol-3- 7000 I N yl)methanone (EAM–2201),2026-04-24T17:24:50+00:00
(4-Ethylnaphthalen-1-yl)(1-pentyl-1H-indol-3-yl)methanone,7000,I,N,(JWH–210),DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,(4-Ethylnaphthalen-1-yl)(1-pentyl-1H-indol-3- 7000 I N yl)methanone (JWH–210),2026-04-24T17:24:50+00:00
(4-Fluoronaphthalen-1-yl)(1-pentyl-1H-indol-3-yl)methanone,7000,I,N,(JWH–412),DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,(4-Fluoronaphthalen-1-yl)(1-pentyl-1H-indol-3- 7000 I N yl)methanone (JWH–412),2026-04-24T17:24:50+00:00
(4-Methoxynaphthalen-1-yl)(2-methyl-1-pentyl-1H-indol-3-yl)methanone,7000,I,N,(JWH–098),DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,(4-Methoxynaphthalen-1-yl)(2-methyl-1-pentyl-1H-indol- 7000 I N 3-yl)methanone (JWH–098),2026-04-24T17:24:50+00:00
