list,name,cas_numbers,dea_code,source_url,raw_text,fetched_at
I,"Alpha-phenylacetoacetonitrile and its salts, optical isomers, and salts of optical isomers (APAAN)",,8512,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1310&section=1310.02,"(1) Alpha-phenylacetoacetonitrile and its salts, optical isomers, and salts of optical isomers (APAAN)  8512",2026-04-24T17:24:50+00:00
I,"Anthranilic acid, its esters, and its salts",,8530,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1310&section=1310.02,"(2) Anthranilic acid, its esters, and its salts  8530",2026-04-24T17:24:50+00:00
I,Benzyl cyanide,,8735,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1310&section=1310.02,(3) Benzyl cyanide  8735,2026-04-24T17:24:50+00:00
I,"Ephedrine, its salts, optical isomers, and salts of optical isomers",,8113,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1310&section=1310.02,"(4) Ephedrine, its salts, optical isomers, and salts of optical isomers  8113",2026-04-24T17:24:50+00:00
I,Ergonovine and its salts,,8675,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1310&section=1310.02,(5) Ergonovine and its salts  8675,2026-04-24T17:24:50+00:00
I,Ergotamine and its salts,,8676,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1310&section=1310.02,(6) Ergotamine and its salts  8676,2026-04-24T17:24:50+00:00
I,"N-Acetylanthranilic acid, its esters, and its salts",,8522,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1310&section=1310.02,"(7) N-Acetylanthranilic acid, its esters, and its salts  8522",2026-04-24T17:24:50+00:00
I,"Norpseudoephedrine, its salts, optical isomers, and salts of optical isomers",,8317,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1310&section=1310.02,"(8) Norpseudoephedrine, its salts, optical isomers, and salts of optical isomers  8317",2026-04-24T17:24:50+00:00
I,"Phenylacetic acid, its esters, and its salts",,8791,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1310&section=1310.02,"(9) Phenylacetic acid, its esters, and its salts  8791",2026-04-24T17:24:50+00:00
I,"Phenylpropanolamine, its salts, optical isomers, and salts of optical isomers",,1225,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1310&section=1310.02,"(10) Phenylpropanolamine, its salts, optical isomers, and salts of optical isomers  1225",2026-04-24T17:24:50+00:00
I,Piperidine and its salts,,2704,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1310&section=1310.02,(11) Piperidine and its salts  2704,2026-04-24T17:24:50+00:00
