schedule,name,aliases,cas_numbers,dea_code,source_url,raw_text,fetched_at
I,Acetyl- alpha -methylfentanyl ( N -[1-(1-methyl-2-phenethyl)-4-piperidinyl]- N -phenylacetamide),,,9815,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1308&section=1308.11,(1) Acetyl- alpha -methylfentanyl ( N -[1-(1-methyl-2-phenethyl)-4-piperidinyl]- N -phenylacetamide)  9815,2026-04-24T17:24:50+00:00
I,Acetylmethadol,,,9601,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1308&section=1308.11,(2) Acetylmethadol  9601,2026-04-24T17:24:50+00:00
I,Acetyl fentanyl ( N -(1-phenethylpiperidin-4-yl)- N -phenylacetamide),,,9821,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1308&section=1308.11,(3) Acetyl fentanyl ( N -(1-phenethylpiperidin-4-yl)- N -phenylacetamide)  9821,2026-04-24T17:24:50+00:00
I,Acryl fentanyl ( N -(1-phenethylpiperidin-4-yl)- N -phenylacrylamide; also known as acryloylfentanyl),,,9811,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1308&section=1308.11,(4) Acryl fentanyl ( N -(1-phenethylpiperidin-4-yl)- N -phenylacrylamide; also known as acryloylfentanyl)  9811,2026-04-24T17:24:50+00:00
I,"AH-7921 (3,4-dichloro- N -[(1-dimethylamino)cyclohexylmethyl]benzamide)",,,9551,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1308&section=1308.11,"(5) AH-7921 (3,4-dichloro- N -[(1-dimethylamino)cyclohexylmethyl]benzamide)  9551",2026-04-24T17:24:50+00:00
I,Allylprodine,,,9602,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1308&section=1308.11,(6) Allylprodine  9602,2026-04-24T17:24:50+00:00
I,"Alphacetylmethadol (except levo -alphacetylmethadol also known as levo - alpha -acetylmethadol, levomethadyl acetate, or LAAM)",,,9603,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1308&section=1308.11,"(7) Alphacetylmethadol (except levo -alphacetylmethadol also known as levo - alpha -acetylmethadol, levomethadyl acetate, or LAAM)  9603",2026-04-24T17:24:50+00:00
I,Alphameprodine,,,9604,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1308&section=1308.11,(8) Alphameprodine  9604,2026-04-24T17:24:50+00:00
I,Alphamethadol,,,9605,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1308&section=1308.11,(9) Alphamethadol  9605,2026-04-24T17:24:50+00:00
I,alphaâ² -Methyl butyryl fentanyl (2-methyl- N -(1-phenethylpiperidin-4-yl)- N -phenylbutanamide),,,9864,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1308&section=1308.11,(10) alphaâ² -Methyl butyryl fentanyl (2-methyl- N -(1-phenethylpiperidin-4-yl)- N -phenylbutanamide)  9864,2026-04-24T17:24:50+00:00
I,alpha -Methylfentanyl ( N -[1-( alpha -methyl- beta -phenyl)ethyl-4-piperidyl]propionanilide; 1-(1-methyl-2-phenylethyl)-4-( N -propanilido)piperidine),,,9814,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1308&section=1308.11,(11) alpha -Methylfentanyl ( N -[1-( alpha -methyl- beta -phenyl)ethyl-4-piperidyl]propionanilide; 1-(1-methyl-2-phenylethyl)-4-( N -propanilido)piperidine)  9814,2026-04-24T17:24:50+00:00
I,alpha -Methylthiofentanyl ( N -[1-methyl-2-(2-thienyl)ethyl-4-piperidinyl]- N -phenylpropanamide),,,9832,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1308&section=1308.11,(12) alpha -Methylthiofentanyl ( N -[1-methyl-2-(2-thienyl)ethyl-4-piperidinyl]- N -phenylpropanamide)  9832,2026-04-24T17:24:50+00:00
I,Benzethidine,,,9606,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1308&section=1308.11,(13) Benzethidine  9606,2026-04-24T17:24:50+00:00
I,Betacetylmethadol,,,9607,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1308&section=1308.11,(14) Betacetylmethadol  9607,2026-04-24T17:24:50+00:00
I,beta -Hydroxyfentanyl ( N -[1-(2-hydroxy-2-phenethyl)-4-piperidinyl]- N -phenylpropanamide),,,9830,https://www.ecfr.gov/api/versioner/v1/full/2026-04-22/title-21.xml?chapter=II&part=1308&section=1308.11,(15) beta -Hydroxyfentanyl ( N -[1-(2-hydroxy-2-phenethyl)-4-piperidinyl]- N -phenylpropanamide)  9830,2026-04-24T17:24:50+00:00
