substance_name,synonyms,convention_schedule,cas_number,notes,source_url,raw_text,fetched_at
CATHINONE,(–)-(S)-2-aminopropiophenone,Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,PC 010 CATHINONE (–)-(S)-2-aminopropiophenone,2026-04-24T17:19:40.499545+00:00
DET,3-[2-(diethylamino)ethyl]indole,Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,PD 001 DET 3-[2-(diethylamino)ethyl]indole,2026-04-24T17:19:40.499545+00:00
DMHP,"3-(1,2-dimethylheptyl)-7,8,9,10-tetrahydro-6,6,9-trimethyl-6H-",Schedule I (1971),,"dibenzo[b,d]pyran-1-ol",https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PD 003 DMHP 3-(1,2-dimethylheptyl)-7,8,9,10-tetrahydro-6,6,9-trimethyl-6H-
dibenzo[b,d]pyran-1-ol",2026-04-24T17:19:40.499545+00:00
DMT,3-[2-(dimethylamino)ethyl]indole,Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,PD 004 DMT 3-[2-(dimethylamino)ethyl]indole,2026-04-24T17:19:40.499545+00:00
DMA,"(±)-2,5-dimethoxy-α-methylphenethylamine",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PD 007 DMA (±)-2,5-dimethoxy-α-methylphenethylamine",2026-04-24T17:19:40.499545+00:00
DOET,"(±)-4-ethyl-2,5-dimethoxy-α-methylphenethylamine",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PD 008 DOET (±)-4-ethyl-2,5-dimethoxy-α-methylphenethylamine",2026-04-24T17:19:40.499545+00:00
BROLAMFETAMINE DOB,"(±)-4-bromo-2,5-dimethoxy-α-methylphenethylamine",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PD 009 BROLAMFETAMINE DOB (±)-4-bromo-2,5-dimethoxy-α-methylphenethylamine",2026-04-24T17:19:40.499545+00:00
DOC,"4-Chloro-2,5-dimethoxyamfetamine",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PD 011 DOC 4-Chloro-2,5-dimethoxyamfetamine",2026-04-24T17:19:40.499545+00:00
ETRYPTAMINE,3-(2-aminobutyl)indole,Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,PE 006 ETRYPTAMINE 3-(2-aminobutyl)indole,2026-04-24T17:19:40.499545+00:00
"(+)-LYSERGIDE LSD, LSD-25","9,10-didehydro-N,N-diethyl-6-methylergoline-8β-carboxamide",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PL 002 (+)-LYSERGIDE LSD, LSD-25 9,10-didehydro-N,N-diethyl-6-methylergoline-8β-carboxamide",2026-04-24T17:19:40.499545+00:00
mescaline,"mescaline 3,4,5-trimethoxyphenethylamine",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PM 004 mescaline 3,4,5-trimethoxyphenethylamine",2026-04-24T17:19:40.499545+00:00
MDMA,"(±)-N,α-dimethyl-3,4-(methylenedioxy)phenethylamine",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PM 011 MDMA (±)-N,α-dimethyl-3,4-(methylenedioxy)phenethylamine",2026-04-24T17:19:40.499545+00:00
MMDA,"5-methoxy-α-methyl-3,4-(methylenedioxy)phenethylamine",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PM 013 MMDA 5-methoxy-α-methyl-3,4-(methylenedioxy)phenethylamine",2026-04-24T17:19:40.499545+00:00
TENAMFETAMINE MDA,"α-methyl-3,4-(methylenedioxy)phenethylamine",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PM 014 TENAMFETAMINE MDA α-methyl-3,4-(methylenedioxy)phenethylamine",2026-04-24T17:19:40.499545+00:00
4-methylaminorex,4-methylaminorex (±)-cis-2-amino-4-methyl-5-phenyl-2-oxazoline,Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,PM 017 4-methylaminorex (±)-cis-2-amino-4-methyl-5-phenyl-2-oxazoline,2026-04-24T17:19:40.499545+00:00
methcathinone,methcathinone 2-(methylamino)-1-phenylpropan-1-one,Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,PM 019 methcathinone 2-(methylamino)-1-phenylpropan-1-one,2026-04-24T17:19:40.499545+00:00
4-MTA,α-methyl-4-methylthiophenethylamine,Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,PM 020 4-MTA α-methyl-4-methylthiophenethylamine,2026-04-24T17:19:40.499545+00:00
N-ethyl,"N-ethyl MDA, MDEA (±)-N-ethyl-α-methyl-3,4-(methylenedioxy)phenethylamine",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PN 004 N-ethyl MDA, MDEA (±)-N-ethyl-α-methyl-3,4-(methylenedioxy)phenethylamine",2026-04-24T17:19:40.499545+00:00
N-hydroxy,"N-hydroxy MDA (±)-N[α-methyl-3,4-(methylenedioxy)phenethyl]hydroxylamine",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PN 005 N-hydroxy MDA (±)-N[α-methyl-3,4-(methylenedioxy)phenethyl]hydroxylamine",2026-04-24T17:19:40.499545+00:00
25B-NBOMe,"25B-NBOMe 2-(4-bromo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PN 006 25B-NBOMe 2-(4-bromo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine",2026-04-24T17:19:40.499545+00:00
25C-NBOMe,"25C-NBOMe 2-(4-chloro-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PN 007 25C-NBOMe 2-(4-chloro-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine",2026-04-24T17:19:40.499545+00:00
25I-NBOMe,"25I-NBOMe 2-(4-iodo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PN 008 25I-NBOMe 2-(4-iodo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine",2026-04-24T17:19:40.499545+00:00
parahexyl,"parahexyl 3-hexyl-7,8,9,10-tetrahydro-6,6,9-trimethyl-6H-dibenzo[b,d]pyran-1-ol",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PP 001 parahexyl 3-hexyl-7,8,9,10-tetrahydro-6,6,9-trimethyl-6H-dibenzo[b,d]pyran-1-ol",2026-04-24T17:19:40.499545+00:00
ETICYCLIDINE PCE,N-ethyl-1-phenylcyclohexylamine,Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,PP 003 ETICYCLIDINE PCE N-ethyl-1-phenylcyclohexylamine,2026-04-24T17:19:40.499545+00:00
"ROLICYCLIDINE PHP, PCPY",1-(1-phenylcyclohexyl)pyrrolidine,Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PP 007 ROLICYCLIDINE PHP, PCPY 1-(1-phenylcyclohexyl)pyrrolidine",2026-04-24T17:19:40.499545+00:00
"psilocine,","psilocine, psilotsin 3-[2-(dimethylamino)ethyl]indol-4-ol",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PP 012 psilocine, psilotsin 3-[2-(dimethylamino)ethyl]indol-4-ol",2026-04-24T17:19:40.499545+00:00
PSILOCYBINE,3-[2-(dimethylamino)ethyl]indol-4-yl dihydrogen phosphate,Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,PP 013 PSILOCYBINE 3-[2-(dimethylamino)ethyl]indol-4-yl dihydrogen phosphate,2026-04-24T17:19:40.499545+00:00
PMA,1-(4-methoxyphenyl)propan-2-amine,Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,PP 017 PMA 1-(4-methoxyphenyl)propan-2-amine,2026-04-24T17:19:40.499545+00:00
PMMA,1-(4-methoxyphenyl)-2-methylaminopropane,Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,PP 021 PMMA 1-(4-methoxyphenyl)-2-methylaminopropane,2026-04-24T17:19:40.499545+00:00
"STP, DOM","2,5-dimethoxy-α,4-dimethylphenethylamine",Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,"PS 002 STP, DOM 2,5-dimethoxy-α,4-dimethylphenethylamine",2026-04-24T17:19:40.499545+00:00
TENOCYCLIDINE TCP,1-[1-(2-thienyl)cyclohexyl]piperidine,Schedule I (1971),,,https://www.incb.org/incb/uploads/documents/Psychotropics/forms/greenlist/2026/2510307E.pdf,PT 001 TENOCYCLIDINE TCP 1-[1-(2-thienyl)cyclohexyl]piperidine,2026-04-24T17:19:40.499545+00:00
