table,chemical_name,cas_number,international_nonproprietary_name,other_names,source_url,source_doc,raw_text,fetched_at
I,Acetic anhydride,108-24-7,,acetic oxide; Anhydride acétique,https://www.incb.org/documents/PRECURSORS/RED_LIST/RED_LIST_E.pdf,red_list_E.pdf,"Acetic anhydride (acetic oxide)
Anhydride acétique HS code: 2915.24 CAS number: 108-24-7",2026-04-24T17:19:40.499545+00:00
I,N-Acetylanthranilic acid,89-52-1,,"benzoic acid, 2-(acetylamino)-; Acide N-acétylanthranilique",https://www.incb.org/documents/PRECURSORS/RED_LIST/RED_LIST_E.pdf,red_list_E.pdf,"Anhídrido acético
N-Acetylanthranilic acid (benzoic acid, 2-(acetylamino)-)
Acide N-acétylanthranilique HS code: 2924.23 CAS number: 89-52-1",2026-04-24T17:19:40.499545+00:00
I,4-Anilino-N-phenethylpiperidine (ANPP),21409-26-7,,N-phenyl-1-(2-phenylethyl)piperidin-4-amine; 4-Anilino-N-phénéthylpipéridine,https://www.incb.org/documents/PRECURSORS/RED_LIST/RED_LIST_E.pdf,red_list_E.pdf,"Acido N-acetilantranílico
4-Anilino-N-phenethylpiperidine (ANPP) (N-phenyl-1-(2-phenylethyl)piperidin-4-amine)
4-Anilino-N-phénéthylpipéridine HS code: 2933.36 CAS number: 21409-26-7",2026-04-24T17:19:40.499545+00:00
I,tert-Butyl 4-oxopiperidine-1-carboxylate,79099-07-3,,"1-piperidinecarboxylic acid, 4-oxo, 1,1-dimethylethyl(1-boc-4-piperidone)3 ester; tert-butyl 4-oxopipéridine-1-",https://www.incb.org/documents/PRECURSORS/RED_LIST/RED_LIST_E.pdf,red_list_E.pdf,"4-Anilino-N-fenetilpiperidina
tert-Butyl 4-oxopiperidine-1-carboxylate (1-piperidinecarboxylic acid, 4-oxo, 1,1-dimethylethyl(1-boc-4-piperidone)3 ester)
tert-butyl 4-oxopipéridine-1- HS code: 2933.39 CAS number: 79099-07-3",2026-04-24T17:19:40.499545+00:00
I,tert-Butyl 4-(phenylamino)piperidine-1-,125541-22-2,,"4-(phenylamino)-1-piperidinecarboxylic acid, 1,1carboxylate (1-boc-4-AP)4 dimethylethyl ester; tert-butyl 4-(phénylamino)pipéridine-1-",https://www.incb.org/documents/PRECURSORS/RED_LIST/RED_LIST_E.pdf,red_list_E.pdf,"carboxylate
4-oxopiperidina-1-carboxilato
de tert-butilo
tert-Butyl 4-(phenylamino)piperidine-1- (4-(phenylamino)-1-piperidinecarboxylic acid, 1,1carboxylate (1-boc-4-AP)4 dimethylethyl ester)
tert-butyl 4-(phénylamino)pipéridine-1- HS code: 2933.34 CAS number: 125541-22-2",2026-04-24T17:19:40.499545+00:00
I,Ephedrine,299-42-3,,"[R-(R*,S*)]-α-[1-(methylamino)ethyl]- Ephédrine benzenemethanol; Efedrina",https://www.incb.org/documents/PRECURSORS/RED_LIST/RED_LIST_E.pdf,red_list_E.pdf,"carboxylate
4-(fenilamino)piperidina-1-carboxilato
de tert-butilo
Ephedrine ([R-(R*,S*)]-α-[1-(methylamino)ethyl]-
Ephédrine benzenemethanol)
Efedrina HS code: 2939.41# CAS number: 299-42-3",2026-04-24T17:19:40.499545+00:00
I,Ergometrine,60-79-7,,"ergoline-8-carboxamide,9,10-didehydro-N-(2-hydroxy-Ergométrine 1-methylethyl)-6-methyl-,[8ß(S)]; Ergometrina",https://www.incb.org/documents/PRECURSORS/RED_LIST/RED_LIST_E.pdf,red_list_E.pdf,"Ephedrine preparations (retail): HS code 3004.41#
Ephedrine preparations (bulk): HS code 3003.41#
Ergometrine (ergoline-8-carboxamide,9,10-didehydro-N-(2-hydroxy-Ergométrine 1-methylethyl)-6-methyl-,[8ß(S)])
Ergometrina HS code: 2939.61 CAS number: 60-79-7",2026-04-24T17:19:40.499545+00:00
I,Ergotamine,113-15-5,,"ergotaman-3',6',18'-trione, 12'-hydroxy-2'-methyl-5'-Ergotamine (phenylmethyl)-,(5α; Ergotamina",https://www.incb.org/documents/PRECURSORS/RED_LIST/RED_LIST_E.pdf,red_list_E.pdf,"Ergotamine (ergotaman-3',6',18'-trione, 12'-hydroxy-2'-methyl-5'-Ergotamine (phenylmethyl)-,(5α))
Ergotamina HS code: 2939.62 CAS number: 113-15-5",2026-04-24T17:19:40.499545+00:00
I,Isosafrole,120-58-1,,"1,3-benzodioxole,5-(1-propenyl)-; Isosafrole",https://www.incb.org/documents/PRECURSORS/RED_LIST/RED_LIST_E.pdf,red_list_E.pdf,"Isosafrole (1,3-benzodioxole,5-(1-propenyl)-)
Isosafrole HS code: 2932.91 CAS number: 120-58-1",2026-04-24T17:19:40.499545+00:00
I,Lysergic acid,82-58-6,,"(8ß)-9,10-didehydro-6-methylergoline-8-carboxylic Acide lysergique acid; Acido lisérgico",https://www.incb.org/documents/PRECURSORS/RED_LIST/RED_LIST_E.pdf,red_list_E.pdf,"Isosafrol
Lysergic acid ((8ß)-9,10-didehydro-6-methylergoline-8-carboxylic
Acide lysergique acid)
Acido lisérgico HS code: 2939.63 CAS number: 82-58-6",2026-04-24T17:19:40.499545+00:00
