drug_name,synonyms,convention_schedule,cas_number,notes,source_url,raw_text,fetched_at
ACETORPHINE,,Schedule I (1961),25333-77-1,"3-O-acetyltetrahydro-7α-(1-hydroxy-1-methylbutyl)-6,14-endo- ethenooripavine (derivative of thebaine)",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NA 001 25333-77-1 ACETORPHINE 3-O-acetyltetrahydro-7α-(1-hydroxy-1-methylbutyl)-6,14-endo-
ethenooripavine (derivative of thebaine)",2026-04-24T17:19:40.499545+00:00
ACETYL-ALPHA-METHYLFENTANYL,,Schedule I (1961),101860-00-8,N-[1-(α-methylphenethyl)-4-piperidyl]acetanilide,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NA 015 101860-00-8 ACETYL-ALPHA-METHYLFENTANYL N-[1-(α-methylphenethyl)-4-piperidyl]acetanilide,2026-04-24T17:19:40.499545+00:00
ACETYLFENTANYL,,Schedule I (1961),3258-84-2,N-Phenyl-N-[1-(2-phenylethyl)-4-piperidinyl]acetamide,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NA 019 3258-84-2 ACETYLFENTANYL N-Phenyl-N-[1-(2-phenylethyl)-4-piperidinyl]acetamide,2026-04-24T17:19:40.499545+00:00
ACETYLMETHADOL,,Schedule I (1961),509-74-0,"3-acetoxy-6-dimethylamino-4,4-diphenylheptane N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]prop-2-enamide",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NA 004 509-74-0 ACETYLMETHADOL 3-acetoxy-6-dimethylamino-4,4-diphenylheptane
N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]prop-2-enamide",2026-04-24T17:19:40.499545+00:00
ACRYLOYLFENTANYL,,Schedule I (1961),82003-75-6,(ACRYLFENTANYL),https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NA 020 82003-75-6 ACRYLOYLFENTANYL
(ACRYLFENTANYL)",2026-04-24T17:19:40.499545+00:00
ALFENTANIL,,Schedule I (1961),71195-58-9,"N-[1-[2-(4-ethyl-4,5-dihydro-5-oxo-1H-tetrazol-1-yl)ethyl]-4- (methoxymethyl)-4-piperidinyl]-N-phenylpropanamide",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NA 014 71195-58-9 ALFENTANIL N-[1-[2-(4-ethyl-4,5-dihydro-5-oxo-1H-tetrazol-1-yl)ethyl]-4-
(methoxymethyl)-4-piperidinyl]-N-phenylpropanamide",2026-04-24T17:19:40.499545+00:00
AH-7921,,Schedule I (1961),55154-30-8,"3,4-Dichloro-N-{[1-(dimethylamino)cyclohexyl]methyl}benzamide",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NA 018 55154-30-8 AH-7921 3,4-Dichloro-N-{[1-(dimethylamino)cyclohexyl]methyl}benzamide",2026-04-24T17:19:40.499545+00:00
ALLYLPRODINE,,Schedule I (1961),25384-17-2,3-allyl-1-methyl-4-phenyl-4-propionoxypiperidine,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NA 007 25384-17-2 ALLYLPRODINE 3-allyl-1-methyl-4-phenyl-4-propionoxypiperidine,2026-04-24T17:19:40.499545+00:00
ALPHACETYLMETHADOL,,Schedule I (1961),17199-58-5,"α-3-acetoxy-6-dimethylamino-4,4-diphenylheptane",https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,"NA 008 17199-58-5 ALPHACETYLMETHADOL α-3-acetoxy-6-dimethylamino-4,4-diphenylheptane",2026-04-24T17:19:40.499545+00:00
ALPHAMEPRODINE,,Schedule I (1961),468-51-9,α-3-ethyl-1-methyl-4-phenyl-4-propionoxypiperidine,https://www.incb.org/incb/uploads/documents/Narcotic-Drugs/Yellow_List/64th_edition/YL_64th_E.pdf,NA 009 468-51-9 ALPHAMEPRODINE α-3-ethyl-1-methyl-4-phenyl-4-propionoxypiperidine,2026-04-24T17:19:40.499545+00:00
