cid,classification_system,category,subcategory,raw_path,source_tag,fetched_at
1576,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
1576,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
1615,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
1615,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
1832,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
3307,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
3307,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
4076,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
4076,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
4980,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
4980,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
5689,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5761,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
5761,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
6089,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
6089,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
6090,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
6090,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
6292,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
6292,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
6833,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
6833,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
8367,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
8523,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
8523,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
9287,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
9331,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
9331,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
9567,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
9567,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
9648,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
9648,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
9982,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
9982,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
9986,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
9986,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
10089,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
10089,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
10090,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
10090,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
10101,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
10101,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
10257,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
10413,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
10517,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
10517,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
10624,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
10624,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
10668,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
10668,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
11226,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
11226,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
13331,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
13331,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
13493,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
13493,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
15129,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
15129,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
16630,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
16630,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
17036,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
17036,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
19527,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
19527,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
20006,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
20006,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
22308,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
22308,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
22391,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
22391,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
26216,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
26216,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
26412,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
26412,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
28397,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
28397,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
30131,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
30131,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
31721,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
31721,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
32938,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
32938,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
34328,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
34328,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
34870,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
36910,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
36910,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
46424,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
46424,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
48194,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
48194,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
60575,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
60575,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
60969,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
60969,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
60977,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
61119,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
61119,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
61120,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
61120,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
61121,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
61121,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
61122,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
61122,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
61306,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
61306,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
61583,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
61583,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
61996,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
61996,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62065,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62065,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62258,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62258,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62278,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62278,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62279,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62279,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
62281,DEA Controlled Substances,Schedule I,,hnid:4025055,DEA Schedule I,2026-04-24T17:19:33+00:00
62281,DEA NFLIS,NFLIS Substances,,hnid:18246386,DEA NFLIS Substances,2026-04-24T17:19:33+00:00
