cid,synonym,fetched_at
11,"1,2-dichloroethane",2026-04-24T17:19:33+00:00
11,Ethylene dichloride,2026-04-24T17:19:33+00:00
11,107-06-2,2026-04-24T17:19:33+00:00
11,Ethylene chloride,2026-04-24T17:19:33+00:00
11,Glycol dichloride,2026-04-24T17:19:33+00:00
11,Dutch liquid,2026-04-24T17:19:33+00:00
11,"Ethane, 1,2-dichloro-",2026-04-24T17:19:33+00:00
11,Ethane dichloride,2026-04-24T17:19:33+00:00
11,sym-Dichloroethane,2026-04-24T17:19:33+00:00
11,Aethylenchlorid,2026-04-24T17:19:33+00:00
11,Brocide,2026-04-24T17:19:33+00:00
11,Dichlor-Mulsion,2026-04-24T17:19:33+00:00
11,"1,2-Dichlorethane",2026-04-24T17:19:33+00:00
11,"Dichloro-1,2-ethane",2026-04-24T17:19:33+00:00
11,Dichloremulsion,2026-04-24T17:19:33+00:00
34,2-chloroethanol,2026-04-24T17:19:33+00:00
34,Ethylene chlorohydrin,2026-04-24T17:19:33+00:00
34,107-07-3,2026-04-24T17:19:33+00:00
34,"Ethanol, 2-chloro-",2026-04-24T17:19:33+00:00
34,Glycol chlorohydrin,2026-04-24T17:19:33+00:00
34,2-Chloroethyl alcohol,2026-04-24T17:19:33+00:00
34,Chloroethanol,2026-04-24T17:19:33+00:00
34,Glycol monochlorohydrin,2026-04-24T17:19:33+00:00
34,2-Monochloroethanol,2026-04-24T17:19:33+00:00
34,Ethylchlorohydrin,2026-04-24T17:19:33+00:00
34,2-Chlorethanol,2026-04-24T17:19:33+00:00
34,2-Chloro-1-ethanol,2026-04-24T17:19:33+00:00
34,Glycomonochlorhydrin,2026-04-24T17:19:33+00:00
34,2-Hydroxyethyl chloride,2026-04-24T17:19:33+00:00
34,beta-Chloroethyl alcohol,2026-04-24T17:19:33+00:00
107,hydrocinnamic acid,2026-04-24T17:19:33+00:00
107,3-phenylpropionic acid,2026-04-24T17:19:33+00:00
107,501-52-0,2026-04-24T17:19:33+00:00
