id,page_title,name,cas_numbers,aliases,schedule_or_category,row_section,raw_text,source_url,fetched_at
1,List_of_Schedule_I_controlled_substances_(U.S.),Acetyl-alpha-methylfentanyl,,,Schedule I,Opioids,9815 | Acetyl-alpha-methylfentanyl[3],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
2,List_of_Schedule_I_controlled_substances_(U.S.),Acetylmethadol,,,Schedule I,Opioids,9601 | Acetylmethadol[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
3,List_of_Schedule_I_controlled_substances_(U.S.),Acetylfentanyl,,,Schedule I,Opioids,9821 | Acetylfentanyl[5],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
4,List_of_Schedule_I_controlled_substances_(U.S.),Acryl fentanyl,,,Schedule I,Opioids,9811 | Acryl fentanyl[6],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
5,List_of_Schedule_I_controlled_substances_(U.S.),AH-7921,,,Schedule I,Opioids,9551 | AH-7921[7],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
6,List_of_Schedule_I_controlled_substances_(U.S.),Allylprodine,,,Schedule I,Opioids,9602 | Allylprodine[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
7,List_of_Schedule_I_controlled_substances_(U.S.),"Alphacetylmethadol (except levo-alphacetylmethadol also known as levo-alpha-acetylmethadol, levomethadyl acetate, or LAAM)",,,Schedule I,Opioids,"9603 | Alphacetylmethadol (except levo-alphacetylmethadol also known as levo-alpha-acetylmethadol, levomethadyl acetate, or LAAM)[8]",https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
8,List_of_Schedule_I_controlled_substances_(U.S.),Alphameprodine,,,Schedule I,Opioids,9604 | Alphameprodine[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
9,List_of_Schedule_I_controlled_substances_(U.S.),Alphamethadol,,,Schedule I,Opioids,9605 | Alphamethadol[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
10,List_of_Schedule_I_controlled_substances_(U.S.),Alpha-methylfentanyl,,,Schedule I,Opioids,9814 | Alpha-methylfentanyl[9],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
11,List_of_Schedule_I_controlled_substances_(U.S.),Alpha-methylthiofentanyl,,,Schedule I,Opioids,9832 | Alpha-methylthiofentanyl[3],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
12,List_of_Schedule_I_controlled_substances_(U.S.),Benzethidine,,,Schedule I,Opioids,9606 | Benzethidine[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
13,List_of_Schedule_I_controlled_substances_(U.S.),Betacetylmethadol,,,Schedule I,Opioids,9607 | Betacetylmethadol[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
14,List_of_Schedule_I_controlled_substances_(U.S.),Beta-hydroxyfentanyl,,,Schedule I,Opioids,9830 | Beta-hydroxyfentanyl[3],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
15,List_of_Schedule_I_controlled_substances_(U.S.),Beta-hydroxy-3-methylfentanyl,,,Schedule I,Opioids,9831 | Beta-hydroxy-3-methylfentanyl[10],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
16,List_of_Schedule_I_controlled_substances_(U.S.),Beta-hydroxythiofentanyl,,,Schedule I,Opioids,9836 | Beta-hydroxythiofentanyl[11],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
17,List_of_Schedule_I_controlled_substances_(U.S.),Betameprodine,,,Schedule I,Opioids,9608 | Betameprodine[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
18,List_of_Schedule_I_controlled_substances_(U.S.),Betamethadol,,,Schedule I,Opioids,9609 | Betamethadol[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
19,List_of_Schedule_I_controlled_substances_(U.S.),Beta-methylfentanyl,,,Schedule I,Opioids,9856 | Beta-methylfentanyl[12],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
20,List_of_Schedule_I_controlled_substances_(U.S.),Beta-phenylfentanyl,,,Schedule I,Opioids,9842 | Beta-phenylfentanyl[12],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
21,List_of_Schedule_I_controlled_substances_(U.S.),Betaprodine,,,Schedule I,Opioids,9611 | Betaprodine[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
22,List_of_Schedule_I_controlled_substances_(U.S.),Brorphine,,,Schedule I,Opioids,9098 | Brorphine[13],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
23,List_of_Schedule_I_controlled_substances_(U.S.),Butyryl Fentanyl,,,Schedule I,Opioids,9822 | Butyryl Fentanyl[14],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
24,List_of_Schedule_I_controlled_substances_(U.S.),Clonitazene,,,Schedule I,Opioids,9612 | Clonitazene[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
25,List_of_Schedule_I_controlled_substances_(U.S.),Crotonylfentanyl,,,Schedule I,Opioids,9844 | Crotonylfentanyl[15],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
26,List_of_Schedule_I_controlled_substances_(U.S.),Cyclopentyl fentanyl,,,Schedule I,Opioids,9847 | Cyclopentyl fentanyl[16],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
27,List_of_Schedule_I_controlled_substances_(U.S.),Cyclopropyl fentanyl,,,Schedule I,Opioids,9845 | Cyclopropyl fentanyl[17],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
28,List_of_Schedule_I_controlled_substances_(U.S.),Dextromoramide,,,Schedule I,Opioids,9613 | Dextromoramide[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
29,List_of_Schedule_I_controlled_substances_(U.S.),Diampromide,,,Schedule I,Opioids,9615 | Diampromide[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
30,List_of_Schedule_I_controlled_substances_(U.S.),Diethylthiambutene,,,Schedule I,Opioids,9616 | Diethylthiambutene[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
31,List_of_Schedule_I_controlled_substances_(U.S.),Difenoxin,,,Schedule I,Opioids,9168 | Difenoxin[18],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
32,List_of_Schedule_I_controlled_substances_(U.S.),Dimenoxadol,,,Schedule I,Opioids,9617 | Dimenoxadol[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
33,List_of_Schedule_I_controlled_substances_(U.S.),Dimepheptanol,,,Schedule I,Opioids,9618 | Dimepheptanol[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
34,List_of_Schedule_I_controlled_substances_(U.S.),Dimethylthiambutene,,,Schedule I,Opioids,9619 | Dimethylthiambutene[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
35,List_of_Schedule_I_controlled_substances_(U.S.),Dioxaphetyl butyrate,,,Schedule I,Opioids,9621 | Dioxaphetyl butyrate[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
36,List_of_Schedule_I_controlled_substances_(U.S.),Dipipanone,,,Schedule I,Opioids,9622 | Dipipanone[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
37,List_of_Schedule_I_controlled_substances_(U.S.),Ethylmethylthiambutene,,,Schedule I,Opioids,9623 | Ethylmethylthiambutene[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
38,List_of_Schedule_I_controlled_substances_(U.S.),Etonitazene,,,Schedule I,Opioids,9624 | Etonitazene[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
39,List_of_Schedule_I_controlled_substances_(U.S.),Etoxeridine,,,Schedule I,Opioids,9625 | Etoxeridine[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
40,List_of_Schedule_I_controlled_substances_(U.S.),Fentanyl carbamate,,,Schedule I,Opioids,9851 | Fentanyl carbamate[19],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
41,List_of_Schedule_I_controlled_substances_(U.S.),4-Fluoroisobutyryl fentanyl,,,Schedule I,Opioids,9824 | 4-Fluoroisobutyryl fentanyl[19],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
42,List_of_Schedule_I_controlled_substances_(U.S.),2′-Fluoro ortho-fluorofentanyl,,,Schedule I,Opioids,9855 | 2′-Fluoro ortho-fluorofentanyl[12],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
43,List_of_Schedule_I_controlled_substances_(U.S.),Furanyl fentanyl,,,Schedule I,Opioids,9834 | Furanyl fentanyl[6],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
44,List_of_Schedule_I_controlled_substances_(U.S.),Furethidine,,,Schedule I,Opioids,9626 | Furethidine[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
45,List_of_Schedule_I_controlled_substances_(U.S.),Hydroxypethidine,,,Schedule I,Opioids,9627 | Hydroxypethidine[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
46,List_of_Schedule_I_controlled_substances_(U.S.),Isobutrylfentanyl,,,Schedule I,Opioids,9827 | Isobutrylfentanyl[16],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
47,List_of_Schedule_I_controlled_substances_(U.S.),Isotonitazene,,,Schedule I,Opioids,9614 | Isotonitazene[20],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
48,List_of_Schedule_I_controlled_substances_(U.S.),Ketobemidone,,,Schedule I,Opioids,9628 | Ketobemidone[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
49,List_of_Schedule_I_controlled_substances_(U.S.),Levomoramide,,,Schedule I,Opioids,9629 | Levomoramide[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
50,List_of_Schedule_I_controlled_substances_(U.S.),Levophenacylmorphan,,,Schedule I,Opioids,9631 | Levophenacylmorphan[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
51,List_of_Schedule_I_controlled_substances_(U.S.),Methoxyacetyl fentanyl,,,Schedule I,Opioids,9825 | Methoxyacetyl fentanyl[17],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
52,List_of_Schedule_I_controlled_substances_(U.S.),4′-Methyl acetyl fentanyl,,,Schedule I,Opioids,9819 | 4′-Methyl acetyl fentanyl[12],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
53,List_of_Schedule_I_controlled_substances_(U.S.),2-Methyl AP-237,,,Schedule I,Opioids,9664 | 2-Methyl AP-237,https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
54,List_of_Schedule_I_controlled_substances_(U.S.),3-Methylfentanyl,,,Schedule I,Opioids,9813 | 3-Methylfentanyl,https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
55,List_of_Schedule_I_controlled_substances_(U.S.),3-methylthiofentanyl,,,Schedule I,Opioids,9833 | 3-methylthiofentanyl,https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
56,List_of_Schedule_I_controlled_substances_(U.S.),Metonitazene,,,Schedule I,Opioids,9757 | Metonitazene[21],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
57,List_of_Schedule_I_controlled_substances_(U.S.),Morpheridine,,,Schedule I,Opioids,9632 | Morpheridine[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
58,List_of_Schedule_I_controlled_substances_(U.S.),MPPP,,,Schedule I,Opioids,9661 | MPPP[22],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
59,List_of_Schedule_I_controlled_substances_(U.S.),MT-45,,,Schedule I,Opioids,9560 | MT-45[23],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
60,List_of_Schedule_I_controlled_substances_(U.S.),Noracymethadol,,,Schedule I,Opioids,9633 | Noracymethadol[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
61,List_of_Schedule_I_controlled_substances_(U.S.),Norlevorphanol,,,Schedule I,Opioids,9634 | Norlevorphanol[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
62,List_of_Schedule_I_controlled_substances_(U.S.),Normethadone,,,Schedule I,Opioids,9635 | Normethadone[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
63,List_of_Schedule_I_controlled_substances_(U.S.),Norpipanone,,,Schedule I,Opioids,9636 | Norpipanone[4][note 1],https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
64,List_of_Schedule_I_controlled_substances_(U.S.),N-Desethyl Isotonitazene,,,Schedule I,Opioids,9760 | N-Desethyl Isotonitazene,https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
65,List_of_Schedule_I_controlled_substances_(U.S.),N-Piperidinyl Etonitazene,,,Schedule I,Opioids,9761 | N-Piperidinyl Etonitazene,https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
66,List_of_Schedule_I_controlled_substances_(U.S.),N-Pyrrolidino Metonitazene,,,Schedule I,Opioids,9762 | N-Pyrrolidino Metonitazene,https://en.wikipedia.org/wiki/List_of_Schedule_I_controlled_substances_(U.S.),2026-04-24T17:16:27.161888+00:00
